,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
5482,11564013,0,0.875267982,132.03224,1.258,1.6038,11701.0,39.19,1910.0,3157.34,44.9,5821.0,4.402,0.898,294.31912,49.532131,15.207
5483,9405541,0,5.55260695,132.08428,1.174,4.1178,727.6,2674.69,6436.0,404932.04,60.7,3306.0,0.273,116.965,292.4393,45.952358000000004,9.687000000000001
5485,7031638,0,1.13353095,132.4414,0.117,3.17,18.5,0.49,2006.0,3840.87,11.1,6318.0,4.36,1.121,291.15805,42.576279,13.145
5487,5437945,1,440.7843755,139.3535,0.424,21.693,2579.0,7.23,308.0,2.14,181.0,6340.0,4.163,1.393,288.47485,40.65136,13.770999999999999
5488,12009347,0,2.723858181,133.57631999999998,0.913,1.4313,5497.0,7.13,900.0,154.53,23.8,4416.0,4.57,0.733,289.34862999999996,50.482861,15.561
5492,9353742,1,0.9387502209999999,131.68256,0.013,1.3568,280.7,1.46,1676.0,1874.28,47.4,5497.0,4.527,0.886,296.05405,45.827049,14.86
5493,9178185,0,2.992704682,133.29518000000002,0.647,1.2585,361.1,7.86,2328.0,6932.19,39.9,5908.0,3.497,3.915,299.55338,45.522048999999996,13.957
5494,6290382,0,6.12810722,137.03456,1.159,2.824,2336.0,39.52,1513.0,1237.9,17.5,7245.0,4.158,1.667,293.5192,41.671791,13.186
5495,3327992,0,2.115511511,131.99137,1.278,8.5116,25805.0,36.16,897.0,152.34,153.3,4188.0,4.615,0.661,287.17935,38.433701,15.582
5497,5193384,0,21.3779536,157.8164,0.0,24.872,255240.0,173.18,1062.0,300.32,101.9,4905.0,3.3,3.484,293.65988,40.361942,19.065
5498,5181804,0,4.350460215,132.27239,4.203,2.5276,50424.0,533.08,1472.0,1107.34,247.2,6585.0,4.208,1.416,290.22836,40.355389,15.929
5503,8719324,0,10.23335969,139.7882155,,7.55,,,,,,,,,301.11429,44.825802,11.614
5505,5036537,0,1.06100873,132.521276,0.882,2.6715,6367.1,9.14,1568.0,1434.99,174.9,5080.0,4.417,0.947,297.87793,40.10471,15.564
5506,9837083,0,0.623393802,131.599128,1.137,1.40392,30192.0,28.21,1379.0,849.08,867.8,4330.0,4.628,0.639,294.31942999999995,46.619597999999996,16.18
5507,12557548,1,0.65355361,132.058957,1.226,1.63,4595.9,22.95,1437.0,1004.07,217.4,4550.0,4.622,0.66,290.96622,51.504719,15.692
